
2024/05/18 (21:41:38) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/18 (21:41:38) | DEBUG: Shared::init() : Initialized.
2024/05/18 (21:41:38) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme

2024/05/18 (21:46:43) | ===> btop++ v.1.3.2
2024/05/18 (21:46:43) | INFO: Logger set to DEBUG
2024/05/18 (21:46:43) | DEBUG: Using locale C.UTF-8
2024/05/18 (21:46:43) | INFO: Running on /dev/pts/0
2024/05/18 (21:46:43) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/18 (21:46:43) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/18 (21:46:43) | DEBUG: Shared::init() : Initialized.
